Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2021-09-15 12:21:31,33.93911,67.709953,154180,7171,,,396.06105998711837,,,4.651057205863276,4,AFG,1937,140
Albania,2021-09-15 12:21:31,41.1533,20.1683,158431,2553,,,5505.281812495657,,,1.6114270565735243,8,ALB,21833,85
Algeria,2021-09-15 12:21:31,28.0339,1.6596,200528,5614,,,457.2935699613804,,,2.7996090321551104,12,DZA,11865,747
Andorra,2021-09-15 12:21:31,42.5063,1.5218,15099,130,,,19541.836536594838,,,0.8609841711371614,20,AND,139,1
Angola,2021-09-15 12:21:31,-11.2027,17.8739,51047,1358,,,155.3172997919934,,,2.6602934550512267,24,AGO,6075,240
Antigua and Barbuda,2021-09-15 12:21:31,17.0608,-61.7964,2304,48,,,2352.74895841843,,,2.083333333333333,28,ATG,907,5
Argentina,2021-09-15 12:21:31,-38.4161,-63.6167,5229848,113816,,,11571.541296878248,,,2.1762773985018304,32,ARG,133405,4411
Armenia,2021-09-15 12:21:31,40.0691,45.0382,250559,5056,,,8455.592774650939,,,2.0178880024265737,51,ARM,14632,321
Australia,2021-09-15 12:21:31,-25.0,133.0,78544,1116,,,308.5032423791325,,,1.4208596455489917,36,AUS,37770,146
Austria,2021-09-15 12:21:31,47.5162,14.5501,715893,10856,,,7948.7142476461195,,,1.5164277343122503,40,AUT,42897,92
Azerbaijan,2021-09-15 12:21:31,40.1431,47.5769,463326,6167,,,4569.661732833292,,,1.3310282608789492,31,AZE,90151,979
Bahamas,2021-09-15 12:21:31,25.025885,-78.035889,19601,463,,,4984.38644316055,,,2.362124381409112,44,BHS,2933,150
Bahrain,2021-09-15 12:21:31,26.0275,50.55,273916,1388,,,16097.716067920283,,,0.5067246893208137,48,BHR,2786,4
Bangladesh,2021-09-15 12:21:31,23.685,90.3563,1534440,27007,,,931.7176201941323,,,1.7600557858241443,50,BGD,101044,2460
Barbados,2021-09-15 12:21:31,13.1939,-59.5432,6053,52,,,2106.3364083362617,,,0.8590781430695523,52,BRB,1472,4
Belarus,2021-09-15 12:21:31,53.7098,27.9534,508514,3953,,,5381.487198921489,,,0.777363061783943,112,BLR,43797,316
Belgium,2021-09-15 12:21:31,50.8333,4.469936,1212106,25477,,,10458.55186228776,,,2.1018788785799263,56,BEL,55486,178
Belize,2021-09-15 12:21:31,17.1899,-88.4976,17967,383,,,4518.624519328708,,,2.1316858685367617,84,BLZ,2859,36
Benin,2021-09-15 12:21:31,9.3077,2.3158,21450,146,,,176.93351209804538,,,0.6806526806526807,204,BEN,12385,33
Bhutan,2021-09-15 12:21:31,27.5142,90.4336,2596,3,,,336.43852091465664,,,0.11556240369799692,64,BTN,19,0
Bolivia,2021-09-15 12:21:31,-16.2902,-63.5887,495612,18603,,,4245.787447285533,,,3.753541076487252,68,BOL,11881,381
Bosnia and Herzegovina,2021-09-15 12:21:31,43.9159,17.6791,222927,10099,,,6794.86651944715,,,4.530182526118415,70,BIH,15080,383
Botswana,2021-09-15 12:21:31,-22.3285,24.6849,165644,2337,,,7043.810131292193,,,1.410857018666538,72,BWA,23264,294
Brazil,2021-09-15 12:21:31,-14.235,-51.9253,21019830,587797,,,9888.920043054879,,,2.79639273961778,76,BRA,603647,17199
Brunei,2021-09-15 12:21:31,4.5353,114.7277,4431,21,,,1012.8393560435492,,,0.4739336492890995,96,BRN,3579,18
Bulgaria,2021-09-15 12:21:31,42.7339,25.4858,475299,19744,,,6840.365002529344,,,4.154016734729086,100,BGR,39359,1349
Burkina Faso,2021-09-15 12:21:31,12.2383,-1.5616,13959,171,,,66.77899992527487,,,1.22501611863314,854,BFA,282,1
Burma,2021-09-15 12:21:31,21.9162,95.956,436527,16693,,,802.2948956579397,,,3.8240475388693023,104,MMR,76236,3070
Burundi,2021-09-15 12:21:31,-3.3731,29.9189,14189,38,,,119.32773801821764,,,0.26781309465078584,108,BDI,3991,0
Cabo Verde,2021-09-15 12:21:31,16.5388,-23.0418,36694,323,,,6599.78272912365,,,0.8802529023818608,132,CPV,2249,23
Cambodia,2021-09-15 12:21:31,11.55,104.9167,101443,2067,,,606.7538486668826,,,2.0375974685291247,116,KHM,14193,340
Cameroon,2021-09-15 12:21:31,3.848,11.5021,84210,1357,,,317.2245589746109,,,1.6114475715473222,120,CMR,1756,19
Canada,2021-09-15 12:21:31,60.00100000000001,-95.001,1563143,27315,,,4129.2141405804605,,,1.7474408931236618,124,CAN,97665,595
Central African Republic,2021-09-15 12:21:31,6.6111,20.9394,11309,100,,,234.15222772789727,,,0.8842514811212309,140,CAF,58,1
Chad,2021-09-15 12:21:31,15.4542,18.7322,5019,174,,,30.55547962514472,,,3.4668260609683204,148,TCD,35,0
